to_translate;translation
Die Stadtratskommission für Frauen gibt Gleichstellungsthemen stadtweit Gewicht.\nHier setzen Frauen die Themen und geben Empfehlungen für die Kommunalpolitik. Ihre Empfehlungen muss der Stadtrat innerhalb von drei Monaten behandeln. Die Kommission unterstützt die Arbeit der Gleichstellungsstelle für Frauen und berät über aktuelle und bedeutende Themen, die die Lebenssituation von Frauen und Mädchen in München betreffen. In beinahe jeder Sitzung müssen Beschwerden von Münchner Bürgerinnen über sexistische und diskriminierende Werbung behandelt werden.\nDie Gleichstellungsstelle für Frauen hat die Geschäftsführung inne.\nDie Gleichstellungsstelle übernimmt die Geschäftsführung der Kommission. Sie ist verantwortlich für die Organisation von der Einladung bis zum Protokoll, sie bereitet die Sitzungen vor, erarbeitet Empfehlungen und überprüft deren Umsetzung.\nDer Stadtrat muss handeln.\nDie Kommission tagt monatlich. 11 Stadträtinnen und 12 Vertreterinnen von Münchner Verbänden, Einrichtungen und Projekten sitzen in diesem Gremium.;Die Gruppe für Frauen im Stadtrat sorgt dafür, dass alle in der Stadt über Dinge reden, die für Frauen wichtig sind. In dieser Gruppe bestimmen Frauen, worüber gesprochen wird. Sie geben Tipps, was in der Stadt-Politik gemacht werden soll. Der Stadtrat muss diese Tipps in den nächsten 3 Monaten besprechen. Die Gruppe hilft dem Büro, das sich um Gleichberechtigung für Frauen kümmert. Sie spricht über Dinge, die gerade wichtig sind und das Leben von Mädchen und Frauen in München beeinflussen. Fast in jedem Treffen sprechen sie über Beschwerden. Die Beschwerden kommen von Frauen aus München. Sie finden bestimmte Werbung schlecht, weil sie Frauen unfreundlich behandelt.\n\nDas Büro für Gleichberechtigung von Frauen hilft der Gruppe bei der Arbeit. Sie organisieren alles - von der Einladung bis zum Bericht. Sie machen die Treffen bereit. Sie arbeiten Tipps aus und schauen, ob die Tipps umgesetzt werden.\n\nDer Stadtrat muss etwas tun.\n\nDie Gruppe trifft sich jeden Monat. 11 Frauen aus dem Stadtrat und 12 Frauen von Gruppen und Büros aus München sind in der Gruppe dabei.
Die Gesundheitstreffs sind Anlaufstellen zum Thema Gesundheit im Stadtteil.;Die Gesundheits-Treffs sind Orte in deinem Stadt-Teil. Dort kannst du dich über das Thema Gesundheit informieren.
In den GesundheitsTreffs steht Ihnen ein interdisziplinäres Team aus einer Ärzt*in, einer Sozialpädagog*in, Gesundheits- und Kinderkrankenpfleger*innen und medizinischen Fachangestellten für alle Fragen rund um die eigene Gesundheit und das gesunde Aufwachsen von Kindern und Jugendlichen zur Verfügung.\n\nDie GesundheitsTreffs beraten vertraulich, unabhängig und kostenlos zu Gesundheitsthemen. Sie sind Einrichtungen der Landeshauptstadt München. Alle Angebote sind kostenfrei. Sie benötigen keine Krankenversicherungskarte. Bei Bedarf können wir jederzeit Dolmetscher*innen hinzuziehen.;In den Gesundheits-Treffs arbeiten viele Leute zusammen. Es gibt zum Beispiel einen Arzt oder eine Ärztin, eine Person die sich gut mit Sozialarbeit auskennt, Pfleger oder Pflegerinnen für kranken Kinder und Personen die in einer Arztpraxis arbeiten. Sie helfen Ihnen bei allen Fragen, die mit Gesundheit zu tun haben. Sie helfen auch, wenn Sie wissen wollen, wie Kinder und Jugendliche gesund groß werden.\n\nDie Gesundheits-Treffs gehören zur Stadt München. Sie geben Ihnen Antworten zu Fragen über Gesundheit. Niemand anders erfährt, was Sie da sprechen. Das kostet Sie nichts. Sie brauchen auch keine Karte von der Krankenversicherung. Wenn Sie Hilfe beim Übersetzen brauchen, kann ein Übersetzer oder eine Übersetzerin dazu kommen.
Was ist ein Gesundheitstreff?;Was ist ein Treff für Gesundheit?
GesundheitsTreffs arbeiten mit niedergelassenen Ärzt*innen, Hebammen, Krankenhäusern und anderen medizinischen und sozialen Einrichtungen zusammen. Ein wichtiges Ziel der Arbeit der GesundheitsTreffs ist die Verknüpfung des medizinischen Sektors im Stadtteil mit Angeboten im sozialen Bereich. Sie planen bedarfsgerecht konkrete Maßnahmen der Gesundheitsförderung und -vorsorge im Stadtteil in Kooperation mit Stadtteilakteuren und setzen diese um.;Die Gesundheits-Treffs arbeiten zusammen mit:\n\n* Ärzten und Ärztinnen, die ihre Praxis im Stadtteil haben,\n* Hebammen,\n* Krankenhäusern und\n* anderen Einrichtungen, die für Gesundheits-Fragen und soziale Fragen da sind.\n\nEin wichtiges Ziel von den Gesundheits-Treffs ist:\n\nSie möchten die Ärzte und Einrichtungen aus dem Gesundheits-Bereich im Stadtteil mit Angeboten aus dem Sozial-Bereich verbinden.\n\nDas heißt:\n\nDie Gesundheits-Treffs machen Pläne für Aktionen.\n\nDiese Aktionen sind gut für die Gesundheit der Menschen im Stadtteil.\n\nUnd sie helfen dabei, Krankheiten zu vermeiden.\n\nDie Gesundheits-Treffs machen diese Pläne zusammen mit Personen und Gruppen aus dem Stadtteil.\nUnd sie führen die Aktionen dann auch zusammen durch.
Was machen die Gesundheits-Treffs?;Was machen die Gesundheits-Treffen?
Beratung bei gesundheitlichen Fragen und Problemen\n* Beratung zur Krankheitsdiagnose und Behandlung zum Beispiel bei Diabetes, Herz-Kreislauferkrankungen, Krebs\n* Erklärung ärztlicher Befunde\n* Beratung zu Medikamenten\n* Beratung zu gesundheitlichen Fragestellungen, wie zum Beispiel Ernährung bei Kindern und Erwachsenen, seelische Gesundheit, Vorsorgeuntersuchungen, Pflege von Angehörigen, Krankenkassenleistungen;Hilfe bei Fragen und Problemen mit der Gesundheit\n* Hilfe, wenn man krank ist. Zum Beispiel bei Zuckerkrankheit, Herz-Krankheit, Krebs.\n* Erklärung, was die Ärzte sagen.\n* Hilfe zu Medikamenten.\n* Hilfe bei Fragen zur Gesundheit. Wie zum Beispiel:\n  * Was sollen Kinder und Erwachsene essen?\n  * Wie bleibt man seelisch gesund?\n  * Was ist eine Vorsorge-Untersuchung?\n  * Wie pflegt man Menschen in der Familie?\n  * Was bezahlt die Kranken-Kasse?
Ärztliche Untersuchung mit Beratung für Kinder und Erwachsene\n* Nachholen versäumter Kinder-Vorsorgeuntersuchungen (U-Untersuchungen)\n* Untersuchung des Entwicklungsstandes von Säuglingen und Kindern\n* Impfberatung\n* Gesundheits-Check-Up mit Beratung\n;Untersuchung durch den Arzt und Gespräch für Kinder und Erwachsene\n* Kinder-Vorsorgeuntersuchungen nachholen, die vergessen wurden\n* Prüfung, wie sich Babys und Kinder entwickeln\n* Gespräch über Impfungen\n* Prüfung, wie gesund man ist, und Gespräch dazu.
Vermittlung sozialer Hilfen\n* Hilfe bei Anträgen (zum Beispiel Reha, Krankenkasse, Pflege, Schwerbehindertenausweis, Haushaltshilfe, Unterstützungsdienste nach Klinikaufenthalt)\n* Unterstützung bei der Suche nach Hausärzt*innen, Fachärzt*innen, Physio- und Psychotherapeut*innen\n* Vermittlung an Fachstellen, Beratungsstellen und weiterführende Hilfsangebote;Wir helfen Ihnen dabei, Unterstützungs-Angebote zu finden:\n* Wir helfen Ihnen bei Anträgen. Zum Beispiel:\n   - Antrag für die Rehabilitation\n   - Antrag bei der Krankenkasse\n   - Antrag für Pflege\n   - Antrag für den Ausweis für Menschen mit Behinderung\n   - Antrag für Hilfe im Haushalt\n   - Antrag für Unterstützungs-Dienste nach einem Aufenthalt im Krankenhaus\n\n* Wir helfen Ihnen dabei, Ärzte zu finden. Zum Beispiel:\n  - Hausärzte und Hausärztinnen\n  - Fachärzte und Fachärztinnen\n  - Physiotherapeuten und Physiotherapeutinnen\n  - Psychotherapeuten und Psychotherapeutinnen\n\n* Wir sagen Ihnen, wo Sie mehr Hilfe bekommen. Zum Beispiel:\n  - An welcher Stelle Sie noch Hilfe bekommen können\n  - Welche Beratungsstellen es gibt\n  - Weitere Hilfsangebote\n
Gruppenangebote, Kurse und Schulungen\n* Angebote zu Bewegungsförderung und zu gesunder Ernährung\n* Aufsuchende Arbeit, zum Beispiel in Eltern-Cafés und Unterkünften\n* Informationsveranstaltungen für Kindertagesstätten und Schulen\n* Vorträge zu verschiedenen Gesundheitsthemen auf Anfrage, themenbezogene Gruppentreffen für verschiedene Altersgruppen;Angebote in Gruppen, Lern-Runden und Klassen\n* Wir haben Angebote, wo Sie mehr Bewegung machen können und lernen, gesund zu essen\n* Wir kommen auch zu Ihnen. Zum Beispiel in Cafés für Mütter und Väter oder in Wohn-Häuser\n* Wir geben Informationen für Kinder-Gärten und Schulen\n* Wir reden über verschiedene Themen zu Gesundheit, wenn Sie das wollen. Wir treffen uns in Gruppen und reden über bestimmte Themen. Für verschiedene Alters-Gruppen.
Ziele der GesundheitsTreffs\n* Gesundheit erhalten und verbessern (Gesundheitsförderung)\n* Verhaltens- und lebensweltbezogene Risiken auf individueller und struktureller Ebene reduzieren (Prävention)\n* Einen niederschwelligen Zugang zur gesundheitlichen Versorgung herstellen und die Weitervermittlung in die gesundheitliche Versorgung sicherstellen\n* Gesundheit(skompetenzen) stärken\n* Gesundheitsförderliche Lebenswelten schaffen;Was wollen wir mit den Gesundheits-Treffs erreichen?\n\n* Wir möchten, dass die Menschen gesund bleiben oder gesünder werden.\n* Wir möchten helfen, dass Menschen nicht krank werden. Wir schauen, was in Ihrem Leben und in Ihrer Umgebung das Risiko erhöht, krank zu werden. Und wir versuchen, das zu ändern.\n* Wir wollen, dass alle Menschen leicht Hilfe bekommen, wenn sie krank sind. Und wir helfen dabei, die richtige Hilfe zu finden.\n* Wir möchten, dass die Menschen mehr über Gesundheit wissen und lernen, wie sie gesund bleiben können.\n* Wir möchten, dass die Menschen in einer Umgebung leben, die gut für ihre Gesundheit ist.
Sind die Beratungen der Gesundheitstreffs vertraulich?;Kann man über Gesundheits-Treffs in Ruhe sprechen?
Wie sieht ein Gesundheitstreff aus?;Wie sieht ein Treff für Gesundheit aus?
Möchten Sie zu dem Gesundheits-Treff Hasenbergl kommen?;Wollen Sie zum Treff für Gesundheit im Hasenbergl kommen?
Ich möchte zu dem Gesundheits-Treff Hasenbergl kommen.;Ich will zum Treff für Gesundheit in Hasenbergl gehen.
Möchten Sie zu dem Gesundheits-Treff Riem kommen?;Wollen Sie zum Treff für Gesundheit in Riem kommen?
Ich möchte zu dem Gesundheits-Treff Riem kommen.;Ich will zum Treffpunkt für Gesundheit in Riem gehen.
Wohnsitz anmelden oder ummelden;Sich anmelden oder den Wohnort ändern.
Wenn Sie nach München ziehen, müssen Sie sich so schnell wie möglich anmelden – auch bei einer Ummeldung innerhalb der Stadt. Der Gesetzgeber sieht 14 Tage vor.;Wenn Sie nach München umziehen, müssen Sie sich schnell anmelden. Das gilt auch, wenn Sie in der Stadt München umziehen. Laut Gesetz haben Sie dafür 14 Tage Zeit.
Wohnsitz;Wohnsitz bedeutet, wo jemand wohnt oder lebt.
Bis wann muss ich meinen neuen Wohnsitz anmelden?;Wann muss ich sagen, wo ich jetzt wohne?
Wo melde ich meinen neuen Wohnsitz an?;Wo sage ich, dass ich jetzt woanders wohne?
Was muss ich mitbringen?;Was soll ich mitnehmen?
Vielleicht ziehen Sie in eine Mietwohnung oder in ein gemietetes Haus?;Vielleicht ziehen Sie in eine Wohnung, die Sie mieten? Oder in ein Haus, das Sie mieten?
Vielleicht ziehen Sie in eine Eigentums-Wohnung, oder in ein eigenes Haus?;Vielleicht ziehen Sie in eine Wohnung, die Ihnen gehört? Oder in ein Haus, das Ihnen gehört?
Haben Sie noch eine Wohnung?;Haben Sie eine Wohnung noch?
Ich habe noch eine Wohnung.;Ich habe noch eine Wohnung.
Haben Sie einen gesetzlichen Betreuer?;Haben Sie jemanden, der Ihnen vom Gesetz hilft?
Ich habe einen gesetzlichen Betreuer.;Ich habe jemanden, der gesetzlich dafür da ist, mir zu helfen.
Ziehen Sie mit Ihrer Familie nach München?;Will Ihre Familie nach München umziehen?
Ich ziehe mit meiner Familie nach München.;Ich und meine Familie gehen nach München. Wir wollen dort wohnen.
Wenn ich nicht selbst kommen kann?;Was mache ich, wenn ich nicht selbst da sein kann?
Kostet die Anmeldung etwas?;Muss ich für die Anmeldung bezahlen?
Muss ich mich an meinem alten Wohn-Sitz abmelden?;Muss ich sagen, dass ich nicht mehr an meinem alten Ort wohne?
Was passiert mit den Daten, mit denen ich angemeldet bin?;Was passiert mit meinen Daten, die ich für die Anmeldung benutzt habe?
Voraussetzungen\n* Der Einzug in die Wohnung ist bereits erfolgt. Eine Anmeldung mit einem Datum, das in der Zukunft liegt, ist rechtlich nicht möglich.\n* An Ihrem vorherigen Wohnort müssen Sie sich nicht abmelden. Dies erfolgt automatisch, wenn Sie sich in München anmelden.\n* Bei mehreren Wohnungen in Deutschland:\n  Sie müssen festlegen, wo Ihr Hauptwohnsitz ist.\n* Bei Familien:\n  Es reicht aus, wenn eine meldepflichtige Person zur Anmeldung ins Bürgerbüro kommt.\n* Bei Minderjährigen bis 16 Jahre:\n  Ist die Person meldepflichtig, in deren Wohnung die/ der Minderjährige einzieht.\n* Bei Betreuungen:\n  Betreuer*innen, die eine entsprechende Betreuungsvollmacht mit Aufenthaltsbestimmung und Einwillungsvorbehalt haben, müssen die betreute Person anmelden.;Bedingungen:\n\n* Sie sind schon in der Wohnung eingezogen. Sie können sich nicht anmelden, wenn das Datum in der Zukunft liegt. Das geht nicht.\n* Sie müssen sich nicht abmelden, wenn Sie vorher woanders gewohnt haben. Wenn Sie sich in München anmelden, passiert die Abmeldung von alleine.\n* Wenn Sie mehrere Wohnungen in Deutschland haben:\n  Sie müssen sagen, wo Ihre Haupt-Wohnung ist.\n* Für Familien:\n  Wenn eine Person, die sich anmelden muss, ins Bürgerbüro geht, ist das genug.\n* Für Kinder bis 16 Jahre:\n  Die Person, die sich anmelden muss, ist die Person, in deren Wohnung das Kind einzieht.\n* Bei Betreuungen:\n  Betreuer*innen, die die Erlaubnis haben, zu bestimmen, wo die betreute Person wohnt und Entscheidungen für sie treffen dürfen, müssen die betreute Person anmelden.
Benötigte Unterlagen\n* Gültiges Ausweisdokument der meldepflichtigen Personen\n* Bestätigung des Wohnungsgebers/ Eigentümers über den Bezug der Wohnung. Die Vorlage einer Bestätigung in selbstverfasster Form reicht nur aus, wenn darin sämtliche notwendigen Angaben enthalten sind:\n  * Anschrift der Wohnung\n  * Vollständiger Name und Anschrift des Wohnungsgebers (Sollte der Wohnungsgeber nicht gleichzeitig der Eigentümer der Wohnung sein, ist zusätzlich der Name des Eigentümers anzugeben.)\n  * Einzugsdatum\n  * Die Namen sämtlicher meldepflichtiger Personen\n\n* Sollte Ihnen die Wohnungsgeberbestätigung nicht oder noch nicht vorliegen, können Sie eine Erklärung zur fehlenden Wohnungsgeberbestätigung abgeben.\n\n* Wenn München der Hauptwohnsitz ist: Personalausweis und bei Zuzug nach München Reisepass (falls vorhanden) zur Aktualisierung der Anschrift/ Wohnort mitbringen.\n\n* wenn Sie innerhalb von München umziehen und ein Fahrzeug haben:\n  Für die Adressänderung in den Fahrzeugpapieren bringen Sie bitte die Zulassungsbescheinigung Teil I (bisher Fahrzeugschein) und den Prüfbericht oder Eintrag im Fahrzeugschein über eine gültige Hauptuntersuchung  mit. \n\n* wenn Sie neu nach München ziehen und ein Fahrzeug ummelden wollen:\n  Beachten Sie dazu die Informationen der Kfz-Zulassungsbehörde (Fahrzeug ummelden von außerhalb nach München).\n\n* falls die Anmeldung durch eine von Ihnen bevollmächtigte Person erfolgt:\n  Eine Vollmacht, die folgende Bereiche umfasst: melderechtliche Angelegenheiten oder Aufenthaltsbestimmungsrecht oder Behördenangelegenheiten (das gilt auch für Vorsorgevollmachten), ein Pass oder Ausweisdokument beider Personen.;Dinge die Sie brauchen:\n\n* Einen gültigen Ausweis für die Personen, die umziehen.\n\n* Eine Bestätigung von der Person die die Wohnung besitzt oder vermietet. In der Bestätigung müssen diese Informationen stehen:\n  * Die Adresse der Wohnung.\n  * Der komplette Name und die Adresse von dem Vermieter. Wenn der Vermieter nicht der Besitzer ist, muss auch der Name vom Besitzer in der Bestätigung stehen.\n  * Das Datum, wann Sie einziehen.\n  * Die Namen von allen Personen, die umziehen.\n\n* Wenn Sie die Bestätigung vom Vermieter nicht oder noch nicht haben, können Sie eine Erklärung schreiben.\n\n* Wenn München ihr Haupt-Wohnort ist: Bringen Sie ihren Personalausweis und wenn Sie aus einer anderen Stadt nach München ziehen, ihren Reisepass (wenn Sie einen haben) mit. So können Sie ihre Adresse ändern.\n\n* Wenn Sie in München umziehen und ein Auto haben:\n  Bringen Sie die Papiere vom Auto und den Bericht über die letzte Haupt-Untersuchung mit. So können Sie die Adresse in den Auto-Papieren ändern.\n\n* Wenn Sie neu nach München ziehen und Sie möchten ihr Auto ummelden:\n  Schauen Sie nach den Informationen von der Kfz-Zulassungs-Behörde. Dort steht, wie Sie ihr Auto von einer anderen Stadt nach München ummelden können.\n\n* Wenn eine andere Person für Sie die Anmeldung macht:\n  Die Person braucht eine Vollmacht von Ihnen. In der Vollmacht soll stehen, dass die Person Dinge für Sie erledigen darf. Zum Beispiel bei Behörden. Die Person braucht auch ihren und ihren Ausweis.
Dauer & Kosten\nGebührenrahmen\n* kostenfrei\n* Adressänderung in Fahrzeugpapieren: 12 Euro;Wie lange dauert es und was kostet es?\nWie viel Sie zahlen müssen:\n* Es kostet nichts.\n* Wenn Sie Ihre Adresse in den Fahrzeugpapieren ändern wollen: Das kostet 12 Euro.
Was machen die Bürgerbüros?;Was tun die Büros für die Bürger?
Terminvereinbarung;Termin machen.
Welche Bürgerbüros gibt es in München?;Wo sind die Bürgerbüros in München?
Kann ich das Bürgerbüro anrufen?;Darf ich das Bürger-Büro anrufen?
Kann ich dem Bürgerbüro eine E-Mail schreiben?;Kann ich eine E-Mail an das Bürgerbüro schicken?
Kann ich zum Bürgerbüro gehen?;Kann ich zum Büro für alle Bürger gehen?
Öffnungszeiten des Bürgerbüros;Wann das Bürgerbüro offen ist.
Wohnsitz abmelden;Das Zuhause abmelden.
Wenn Sie ins Ausland wegziehen, eine Nebenwohnung aufgeben oder keinen festen Wohnsitz mehr haben, müssen Sie sich abmelden.;Wenn Sie in ein anderes Land ziehen, keine zweite Wohnung mehr haben oder keinen festen Ort zum Wohnen mehr haben, müssen Sie sagen: Ich ziehe weg.
Wohnsitz;Wohnort.
Was ist ein Wohnsitz?;Ein Wohnsitz ist der Ort, wo man lebt. Das kann ein Haus oder eine Wohnung sein.
Sie müssen sich innerhalb von zwei Wochen nach dem Auszug abmelden. Andernfalls handeln Sie ordnungswidrig und müssen mit einer Geldbuße rechnen. Eine Abmeldung ist frühestens eine Woche vor Ihrem Auszug möglich.;Sie ziehen um? Dann müssen Sie etwas tun. Sie müssen sagen: Ich ziehe um. Sie müssen das spätestens 2 Wochen nach dem Umzug sagen. Wenn Sie das nicht tun, machen Sie etwas falsch. Und Sie müssen vielleicht Geld bezahlen. Sie können das auch schon früher sagen. Aber nur eine Woche vor dem Umzug. Nicht früher.
Wie melde ich meinen Wohnsitz ab?;Wie sage ich, dass ich nicht mehr hier wohne?
Benötigte Unterlagen\n\nSie können die Abmeldung schriftlich (per Post, Fax oder E-Mail) erledigen, beim Wegzug ins Ausland auch online.\n\nSie benötigen:\n* Kopie des Personalausweises oder Reisepasses\n* Vollständig ausgefülltes Formular für die Abmeldung\n* (zum Download erhältlich oder im Schreibwarenhandel zu kaufen)\n* * Ehegatten, eingetragene Lebenspartner und Familienangehörige können für die gemeinsame Wohnung zusammen ein Formblatt für die Abmeldung verwenden. Bei mehr als vier Personen muss ein zusätzliches Formblatt verwendet werden. Pro Formblatt genügt die Unterschrift einer Person. \n* * Bei mehreren Personen, die nicht verwandt sind, muss jede Person ein eigenes Formblatt ausfüllen und unterschreiben. \n* * Bei Minderjährigen bis 16 Jahre muss die Person das Formblatt unterschreiben, aus deren Wohnung die/ der Minderjährige auszieht.\n* * Bei Betreuungen:Wenn der Betreuer den Aufenthalt bestimmen kann oder ein Einwilligungsvorbehalt für den Betreuten angeordnet ist, muss der Betreuer das Formblatt ausfüllen und unterschreiben sowie seine Betreuungsvollmacht nachweisen.;Du kannst dich abmelden. Du kannst es schriftlich machen. Du kannst einen Brief schreiben, ein Fax senden oder eine E-Mail schreiben. Wenn du in ein anderes Land ziehst, kannst du es auch online machen.\n\nDu brauchst dafür:\n\n* Eine Kopie von deinem Personalausweis oder Reisepass\n* Ein Formular für die Abmeldung. Du musst alles ausfüllen. Du kannst das Formular herunterladen. Oder du kannst es kaufen, zum Beispiel in einem Laden für Schreibwaren.\n\n* Ehemänner und Ehefrauen, Lebenspartner und deine Familie können zusammen ein Formular für die Abmeldung benutzen. Das ist für die Wohnung, in der ihr zusammen wohnt. Wenn mehr als 4 Personen in der Wohnung wohnen, braucht ihr ein zweites Formular. Eine Person kann das Formular unterschreiben. Dann ist es für alle Personen in der Wohnung gültig.\n\n* Wenn mehrere Personen in der Wohnung wohnen, die nicht zur Familie gehören, muss jede Person sein eigenes Formular ausfüllen und unterschreiben.\n\n* Bei Kindern und Jugendlichen bis 16 Jahre muss die Person das Formular unterschreiben, bei der das Kind oder der Jugendliche wohnt.\n\n* Bei Betreuungen: Wenn eine Betreuungsperson sagen kann, wo der Betreute wohnt oder wenn der Betreute eine Zustimmung braucht, muss die Betreuungsperson das Formular ausfüllen und unterschreiben. Die Betreuungsperson muss auch zeigen, dass sie Betreuerin oder Betreuer ist.
Bearbeitungszeit\netwa drei bis vier Wochen;Es dauert etwa 3 bis 4 Wochen, bis wir fertig sind.
Wann bekomme ich die Abmeldebestätigung?;Wann bekomme ich den Zettel, dass ich abgemeldet bin?
Gebührenrahmen\nkostenlos;Geld, das man zahlen muss.
Kostet die Abmeldung etwas?;Muss ich Geld bezahlen, wenn ich mich abmelde?
EU-Parkausweis (hellblau) für Behinderte;Park-Ausweis (hell-blau) für Menschen mit Behinderung.
Beeinträchtigte können einen EU-Parkausweis beantragen. Damit dürfen sie auf Schwerbehindertenparkplätzen parken und haben die Erlaubnis zum gebührenfreien Parken.;Menschen mit Problemen beim Laufen können einen blauen Park-Ausweis bekommen. Mit dem blauen Park-Ausweis dürfen sie auf speziellen Park-Plätzen für Menschen mit Behinderung parken. Sie müssen dafür nichts bezahlen.
Voraussetzungen\n\nArt der Behinderung:\n* Außergewöhnlich Gehbehinderte (Merkzeichen 'aG' im Schwerbehindertenausweis)\n* Blinde (Merkzeichen 'BI' im Schwerbehindertenausweis)\n* Contergan-Geschädigte (beidseitige Amelie oder Phokomelie) und Menschen mit vergleichbaren Beeinträchtigungen (bespielsweise Amputation beider Arme)\n\nWeitere Voraussetzungen:\n* Sie sind mit Hauptwohnsitz in München gemeldet.\n* Die Behinderung ist amtlich festgestellt vom Zentrum Bayern Familie und Soziales (ZBFS, frühere Bezeichnung „Versorgungsamt“). Sie haben einen Schwerbehindertenausweis oder eine Bescheinigung des ZBFS.;Das brauchen Sie:\n\nArt der Behinderung:\n* Sie können ganz schwer gehen. Im Schwer-Behinderten-Ausweis steht: aG.\n* Sie können nicht sehen. Im Schwer-Behinderten-Ausweis steht: BI.\n* Sie haben Contergan-Schaden. Sie haben beide Arme nicht. Oder Sie haben beide Arme und Beine nicht. Oder Sie haben beide Arme ab. Oder es ist ähnlich schlimm.\n\nWeitere Sachen:\n* Sie wohnen in München. Und das ist Ihr Haupt-Wohnsitz.\n* Ein Amt hat gesagt: Sie sind behindert. Das Amt heißt: Zentrum Bayern Familie und Soziales. Das Amt hat auch andere Namen: ZBFS und Versorgungsamt. Sie haben einen Ausweis. Der Ausweis heißt: Schwer-Behinderten-Ausweis. Oder Sie haben ein Papier vom Amt. Das Papier ist eine Bescheinigung.
Was kann ich mit dem Parkausweis machen?;Was kann ich mit der Park-Erlaubnis tun?
* Legen Sie den Parkausweis gut lesbar an der Windschutzscheibe im Fahrzeug aus.\n* Der EU-einheitliche Parkausweis gilt in Deutschland, der EU und vielen weiteren Ländern. Eine Liste aller 52 Mitgliedsländer erhalten Sie online beim Internationalen Transportforum (ITF).\n* Der Parkausweis gilt maximal fünf Jahre. Danach müssen Sie ihn neu beantragen.\n\nZusammen mit dem Parkausweis bekommen Sie einen Bescheid, der alle Parkmöglichkeiten erklärt sowie ein Faltblatt für Auslandsfahrten.;* Legen Sie die Park-Karte so ins Auto, dass man sie gut durch die Front-Scheibe sehen kann.\n* Mit der Park-Karte dürfen Sie in Deutschland, in der EU und in vielen anderen Ländern parken. Es gibt eine Liste im Internet. Da stehen alle 52 Länder drauf. Die Liste ist beim Internationalen Transport-Forum (ITF).\n* Die Park-Karte gilt nur für fünf Jahre. Danach müssen Sie eine neue Karte beantragen.\n\nZusammen mit der Park-Karte bekommen Sie einen Zettel. Da steht drauf, wo Sie parken dürfen. Und Sie bekommen ein Heftchen. Das ist für Reisen ins Ausland.
Wer kann einen Parkausweis für Menschen mit Behinderung bekommen?;Wer darf einen Park-Ausweis für behinderte Menschen haben?
Wie bekomme ich einen Parkausweis für Menschen mit Behinderung?;Sie möchten einen Park-Ausweis für Menschen mit Behinderung haben? Dafür müssen Sie einige Schritte machen.\n\n1. Gehen Sie zu Ihrem Arzt oder Ihrer Ärztin. Er oder sie muss bestätigen, dass Sie eine Behinderung haben.\n2. Mit diesem Nachweis gehen Sie dann zur Stadt oder Gemeinde.\n3. Dort müssen Sie einen Antrag für den Park-Ausweis ausfüllen.\n4. Die Stadt oder Gemeinde prüft dann Ihren Antrag.\n5. Wenn alles passt, bekommen Sie Ihren Park-Ausweis.\n\nDenken Sie daran: Der Ausweis gilt nur für Sie. Andere Personen dürfen ihn nicht benutzen.
Was kostet der Parkausweis für Menschen mit Behinderung?;Wie viel Geld muss man für den Park-Schein für Personen mit Behinderung bezahlen?
Wie lange gilt der Parkausweis für Menschen mit Behinderung?;Wie lange ist der Park-Schein für Menschen mit Behinderung gültig?
Wann ist der Parkausweis für Menschen mit Behinderung fertig?;Wann ist der Ausweis für den Park-Platz für Menschen mit Behinderung fertig?
Bearbeitungszeit\nEtwa 2 Wochen;Ich brauche ungefähr 2 Wochen um das zu machen.
Gebührenrahmen\nkostenfrei;Kostenlos.
Benötigte Unterlagen\n* Schwerbehindertenausweis (Vorder- und Rückseite) oder Bescheinigung des ZBFS über die Funktionseinschränkung\n* Passfoto (für die Rückseite des Parkausweises);Du musst diese Sachen mitbringen:\n\n* Deinen Ausweis für Menschen mit Behinderungen. Du musst beide Seiten zeigen.\n* Bescheinigung vom ZBFS. Das ist ein Papier. Da steht drauf, was du nicht gut kannst.\n* Ein Foto für den Parkausweis. Das Foto muss so sein wie ein Foto für den Pass.
Heimaufsicht;Aufpasser im Wohnheim.
Die Heimaufsicht ist für alle städtischen Pflege- und Behinderteneinrichtungen zuständig.;Die Heim-Aufsicht kümmert sich um alle Pflege-Häuser und Einrichtungen für Menschen mit Behinderung in der Stadt.
Wie hilft mir die Heimaufsicht?;Die Heimaufsicht hilft Ihnen. Sie schaut, ob alles gut in Ihrem Wohnheim ist. Sie spricht mit Ihnen. Sie spricht auch mit den Leuten, die dort arbeiten. Sie prüft, ob die Regeln eingehalten werden. Und sie schaut, ob Sie gut behandelt werden. Wenn es Probleme gibt, kann sie helfen. Sie kann zum Beispiel mit den Leuten sprechen, die das Wohnheim leiten. Oder sie kann Ihnen sagen, wo Sie weitere Hilfe bekommen.
